dataset,repeat,method,tier,device,n_ref,n_query,fit_s,predict_s,peak_mem_mb,n,pct_rejected,accuracy,macro_f1,kappa,ontology_concordance
liver_intra,1,singler,classical,cpu,4068,1332,0.1524064580444246,10.423708708025517,2742.76352,1332,0.0,0.704954954954955,0.7017228446940056,0.6965250965250965,0.7732732732732732
liver_intra,2,singler,classical,cpu,4068,1332,0.1441178329987451,10.53964187495876,2722.52928,1332,0.0,0.704954954954955,0.7017228446940056,0.6965250965250965,0.7732732732732732
liver_intra,0,scmap-cluster,classical,cpu,4068,1332,0.1438008330296725,6.155021790997125,6487.310336,1332,0.0,0.5578078078078078,0.5648621131140151,0.5472616632860041,0.7690241718889884
liver_intra,1,scmap-cluster,classical,cpu,4068,1332,0.145681207999587,6.154987707966939,6462.111744,1332,0.0,0.5578078078078078,0.564881990810726,0.5472616632860041,0.7681289167412713
liver_intra,2,scmap-cluster,classical,cpu,4068,1332,0.1552089999895542,6.153890917077661,6462.554112,1332,0.0,0.5578078078078078,0.564881990810726,0.5472616632860041,0.7681289167412713
liver_intra,0,scanvi,deep,mps,4068,1332,0.0106055000796914,38.88865637499839,1674.264576,1332,0.0,0.8070570570570571,0.8065369670501776,0.8015444015444015,0.8528528528528528
liver_intra,1,scanvi,deep,mps,4068,1332,0.0065616249339655,36.0955684579676,1670.856704,1332,0.0,0.8055555555555556,0.8021420674944093,0.8,0.8423423423423423
liver_intra,2,scanvi,deep,mps,4068,1332,0.0065130420261994,35.883137625060044,1673.265152,1332,0.0,0.7920420420420421,0.7893143936135525,0.7861003861003861,0.831081081081081
liver_intra,0,scarches,deep,mps,4068,1332,28.090217959019355,6.273540291003883,1536.933888,1332,0.0,0.8018018018018018,0.8020694242444399,0.7961389961389962,0.8498498498498499
liver_intra,1,scarches,deep,mps,4068,1332,28.78683854197152,5.647584250080399,1434.99264,1332,0.0,0.7920420420420421,0.790287955060055,0.7861003861003861,0.8378378378378378
liver_intra,2,scarches,deep,mps,4068,1332,25.35211445891764,7.544240792049095,1541.226496,1332,0.0,0.7777777777777778,0.7781519661258754,0.7714285714285715,0.825075075075075
blood_gut_intra,0,actinn-jax,classical,cpu,7692,2563,18.61031233391259,0.274787166970782,2311.53664,2563,0.0,0.8603199375731565,0.8603725918833348,0.8586707732648873,
blood_gut_intra,1,actinn-jax,classical,cpu,7692,2563,18.657762916991487,0.2888164169853553,2477.2608,2563,0.0,0.8603199375731565,0.8603725918833348,0.8586707732648873,
blood_gut_intra,2,actinn-jax,classical,cpu,7692,2563,19.005665624979883,0.2856460829498246,2477.473792,2563,0.0,0.8603199375731565,0.8603725918833348,0.8586707732648873,
blood_gut_intra,0,svm,classical,cpu,7692,2563,21.185525791952383,0.0722465409198775,1757.315072,2563,0.0,0.8591494342567304,0.8611948620075898,0.8574868013527343,
blood_gut_intra,1,svm,classical,cpu,7692,2563,22.786520624998957,0.0717704580165445,1756.823552,2563,0.0,0.8618806086617246,0.8644449064678323,0.8602502151769195,
blood_gut_intra,2,svm,classical,cpu,7692,2563,22.079298124997877,0.0742770419456064,1905.606656,2563,0.0,0.8626609442060086,0.8649198848561873,0.8610397619838295,
blood_gut_intra,0,knn,classical,cpu,7692,2563,2.1011536669684574,0.1406767499865964,1907.965952,2563,0.0,0.777214202106906,0.7748725942172604,0.774584386627178,
blood_gut_intra,1,knn,classical,cpu,7692,2563,1.9851157910889017,0.1384521250147372,1904.377856,2563,0.0,0.777214202106906,0.7747338442739296,0.774584386627178,
blood_gut_intra,2,knn,classical,cpu,7692,2563,1.9791424580616876,0.1344480830011889,1905.95072,2563,0.0,0.7756535310183379,0.7740035394590985,0.773005293013358,
blood_gut_intra,0,celltypist,classical,cpu,7692,2563,27.92594437499065,0.637980290921405,1856.192512,2563,0.0,0.8751463129145532,0.8763754672049661,0.8736725108943905,
blood_gut_intra,1,celltypist,classical,cpu,7692,2563,27.754412916954607,0.5887052080361173,1857.04448,2563,0.0,0.8743659773702692,0.8756238688014986,0.8728829640874805,
blood_gut_intra,2,celltypist,classical,cpu,7692,2563,26.903393000015058,0.5947251670295373,1855.81568,2563,0.0,0.8689036285602809,0.8702461403983038,0.8673558095446987,
blood_gut_intra,0,singler,classical,cpu,7692,2563,0.3760291669750586,34.90944550000131,5019.303936,2563,0.0,0.8505657432696059,0.8491517963716975,0.8488017631879828,
blood_gut_intra,1,singler,classical,cpu,7692,2563,0.3645528329070657,34.82496500003617,5097.0624,2563,0.0,0.8505657432696059,0.8491517963716975,0.8488017631879828,
blood_gut_intra,2,singler,classical,cpu,7692,2563,0.3628028749953955,34.891348458011635,5019.910144,2563,0.0,0.8505657432696059,0.8491517963716975,0.8488017631879828,
blood_gut_intra,0,scmap-cluster,classical,cpu,7692,2563,0.3567224170546978,11.129373209085315,11792.400384,2563,0.0,0.7229808817791651,0.7255456759091035,0.7198211886024825,
blood_gut_intra,1,scmap-cluster,classical,cpu,7692,2563,0.3804297080496326,10.947604874963872,11791.368192,2563,0.0,0.7229808817791651,0.7254581411731544,0.7198211886024825,
blood_gut_intra,2,scmap-cluster,classical,cpu,7692,2563,0.4058522909181192,10.644364124978893,11788.877824,2563,0.0,0.7229808817791651,0.7255456759091035,0.7198211886024825,
blood_gut_intra,0,scanvi,deep,mps,7692,2563,0.0082202909979969,68.71782337501645,2356.887552,2563,0.0,0.8821693328131096,0.8824026762661086,0.880778432156581,
blood_gut_intra,1,scanvi,deep,mps,7692,2563,0.0065318749984726,77.81840045796707,2356.297728,2563,0.0,0.8813889972688256,0.8819220881663927,0.8799888853496709,
blood_gut_intra,2,scanvi,deep,mps,7692,2563,0.0080715829972177,74.74712183396332,2351.333376,2563,0.0,0.8751463129145532,0.8758361911459265,0.8736725108943905,
blood_gut_intra,0,scarches,deep,mps,7692,2563,55.925133624929,11.672903082915582,1821.868032,2563,0.0,0.8728053062817012,0.8739500350688187,0.8713038704736603,
blood_gut_intra,1,scarches,deep,mps,7692,2563,46.704794791992754,10.170849208021536,1820.09856,2563,0.0,0.8755364806866953,0.8765893480272703,0.8740669739427347,
blood_gut_intra,2,scarches,deep,mps,7692,2563,43.68045491608791,10.239595792023463,1820.360704,2563,0.0,0.8673429574717129,0.8678657475422614,0.8657770428252899,
lung_intra,0,actinn-jax,classical,cpu,8109,2694,15.307229958940296,0.2030459159286692,1982.611456,2694,0.0,0.8938381588715665,0.9011671173938276,0.8910235946949665,0.9172234595397178
lung_intra,1,actinn-jax,classical,cpu,8109,2694,14.90639829193242,0.1970901659224182,1995.89888,2694,0.0,0.8938381588715665,0.9011671173938276,0.8910235946949665,0.9172234595397178
lung_intra,2,actinn-jax,classical,cpu,8109,2694,14.929459957988,0.197350375005044,1992.507392,2694,0.0,0.8938381588715665,0.9011671173938276,0.8910235946949665,0.9172234595397178
lung_intra,0,svm,classical,cpu,8109,2694,12.811159082921222,0.0529858330264687,1554.661376,2694,0.0,0.8956941351150706,0.9034517456601796,0.8929311390233039,0.925389755011136
lung_intra,1,svm,classical,cpu,8109,2694,12.87097420799546,0.0555582499364391,1554.087936,2694,0.0,0.8960653303637713,0.9039929002282266,0.8933156827304125,0.925389755011136
lung_intra,2,svm,classical,cpu,8109,2694,14.382241624989549,0.0537712080404162,1554.235392,2694,0.0,0.894580549368968,0.902592835531972,0.8917860347952644,0.9246473645137342
lung_intra,0,knn,classical,cpu,8109,2694,1.7885786249535158,0.1328152091009542,1682.784256,2694,0.0,0.8949517446176689,0.8927198838402102,0.8921722704692531,0.9313288789903488
lung_intra,1,knn,classical,cpu,8109,2694,1.7727780840359628,0.1512289999518543,1682.767872,2694,0.0,0.8964365256124721,0.8933523598629532,0.8936961569010814,0.9328136599851522
lung_intra,2,knn,classical,cpu,8109,2694,1.7985042079817504,0.1312222919659689,1682.505728,2694,0.0,0.8938381588715665,0.8918855469618003,0.8910300525697217,0.9305864884929472
lung_intra,0,celltypist,classical,cpu,8109,2694,16.63545758300461,0.4506630420219153,1702.62528,2694,0.0,0.9012620638455828,0.9048568089957436,0.8986408673328665,0.9261321455085376
lung_intra,1,celltypist,classical,cpu,8109,2694,16.223130958969705,0.4682474589208141,1702.346752,2694,0.0,0.8986636971046771,0.904582600986151,0.895980392669909,0.9224201930215292
lung_intra,2,celltypist,classical,cpu,8109,2694,17.246394291054457,0.4452321670250967,1702.985728,2694,0.0,0.8982925018559762,0.9005497996954277,0.8955887212123407,0.9250185597624352
lung_intra,0,singler,classical,cpu,8109,2694,0.24087633297313,25.24816883308813,3599.106048,2694,0.0,0.8760207869339273,0.8778758049555005,0.8727843014168679,0.9179658500371196
lung_intra,1,singler,classical,cpu,8109,2694,0.2400099999504164,25.12715225003194,3565.879296,2694,0.0,0.8760207869339273,0.8778758049555005,0.8727843014168679,0.9179658500371196
lung_intra,2,singler,classical,cpu,8109,2694,0.2313338340027257,24.967929333099164,3726.29504,2694,0.0,0.8760207869339273,0.8778758049555005,0.8727843014168679,0.9179658500371196
lung_intra,0,scmap-cluster,classical,cpu,8109,2694,0.2463429999770596,9.494081291020848,7593.476096,2694,0.0,0.8433556050482554,0.8323194734252137,0.8393443697865647,0.908816880180859
lung_intra,1,scmap-cluster,classical,cpu,8109,2694,0.2691911249421537,8.963073165970854,8837.398528,2694,0.0,0.8433556050482554,0.8323194734252137,0.8393443697865647,0.908816880180859
lung_intra,2,scmap-cluster,classical,cpu,8109,2694,0.2511099999537691,8.8432278749533,8778.940416,2694,0.0,0.8433556050482554,0.8323194734252137,0.8393443697865647,0.908816880180859
lung_intra,0,scanvi,deep,mps,8109,2694,0.0088915419764816,90.22525133297312,2120.925184,2694,0.0,0.9116555308092056,0.9188839245928668,0.9093268454602896,0.9294729027468448
lung_intra,1,scanvi,deep,mps,8109,2694,0.0082238749600946,89.31471137504559,1778.31936,2694,0.0,0.910913140311804,0.9209270160134848,0.9085612525479204,0.9305864884929472
lung_intra,2,scanvi,deep,mps,8109,2694,0.0078947079600766,92.97803958307486,1872.52736,2694,0.0,0.9172234595397178,0.9217189527094958,0.9150385483231144,0.9346696362286564
