dataset,method,repeat,accuracy,macro_f1,ontology_concordance,fit_s,predict_s,peak_mem_mb
lung_cross,knn,2,0.3495940959409594,0.1723454916027458,0.747380073800738,4.619184541981667,0.8365575829520822,2653.454336
lung_cross,celltypist,0,0.3558671586715867,0.1763903004019449,0.7501107011070111,96.04633066698445,1.2020809170790017,3166.273536
lung_cross,celltypist,1,0.3560147601476015,0.1763975768747683,0.750479704797048,95.97865512489808,1.110705958912149,3164.209152
lung_cross,celltypist,2,0.3555719557195572,0.1765514585438621,0.7490036900369004,100.38746187509967,1.0011972079519182,2903.506944
lung_cross,actinn-orig,0,0.3557195571955719,0.1782070105728095,0.7560885608856088,0.174772624974139,123.97217166610062,13522.04288
lung_cross,actinn-orig,1,0.3597047970479705,0.1788470602634752,0.7588191881918819,0.0937759999651461,108.76976616692264,16289.87392
lung_cross,actinn-orig,2,0.3538745387453874,0.1784738938759517,0.746789667896679,0.1495566670782864,114.83553537493572,16290.742272
lung_cross,singler,0,0.3571217712177121,0.1786584730598036,0.765239852398524,0.3892472910229116,154.58450137497857,5740.70784
lung_cross,singler,1,0.3571217712177121,0.1786584730598036,0.765239852398524,0.3924593339907005,156.99078479094896,5754.372096
lung_cross,singler,2,0.3571217712177121,0.1786584730598036,0.765239852398524,0.4084847089834511,157.92392083304003,5754.22464
lung_cross,scmap-cluster,0,0.3400738007380073,0.1688770284900542,0.7507505253677574,0.3950778750004247,17.888016208074987,13483.491328
lung_cross,scmap-cluster,1,0.3400738007380073,0.1688770284900542,0.7508255779045332,0.4025980409933254,17.106866333051585,13531.398144
lung_cross,scmap-cluster,2,0.3400738007380073,0.1688770284900542,0.7508255779045332,0.4188158330507576,16.675834833062254,13530.923008
lung_cross,scanvi,0,0.3607380073800738,0.1766286746126627,0.7700369003690037,0.0118740419857203,166.39040045894217,3779.690496
lung_cross,scanvi,1,0.360590405904059,0.1778627652564808,0.7690036900369004,0.0103625000920146,168.43054274993483,3775.889408
lung_cross,scanvi,2,0.3585977859778598,0.1763590292778054,0.7627306273062731,0.0106225000927224,174.76026400004048,3771.613184
lung_cross,scarches,0,0.3560885608856088,0.1783558549091511,0.7634686346863468,94.99962845805568,60.75666674994864,2930.19648
lung_cross,scarches,1,0.35690036900369,0.1808244629097835,0.7566051660516605,92.34468712494709,61.223260124912485,2937.700352
lung_cross,scarches,2,0.3563837638376383,0.1773029870803036,0.7693726937269373,92.27662975003476,62.295304834027775,2932.948992
